City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
509,Novobirilyussy,RU,58.01,clear sky,56.9514,90.6661,Gostinitsa
528,Hovd,MN,56.91,clear sky,48.0056,91.6419,Hotel Khovd
529,Mehamn,NO,53.55,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
531,Nerchinskiy Zavod,RU,55.54,broken clouds,51.3088,119.61,Gostinitsa
532,Pangnirtung,CA,51.78,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
540,Maningrida,AU,56.93,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
546,Faaborg,DK,55.4,overcast clouds,55.0951,10.2423,Hotel Faaborg Fjord
551,Oga,IT,55.81,clear sky,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
553,Mandurah,AU,52.11,few clouds,-32.55,115.7,Atrium Hotel Mandurah
565,Hervey Bay,AU,55.9,clear sky,-25.2986,152.8535,Shelly Bay Resort
566,Skelleftea,SE,57.56,few clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
591,Kargasok,RU,57.29,broken clouds,59.0556,80.8572,Hotel Kargasok
594,Staritsa,RU,59.95,moderate rain,56.5075,34.9354,"Hotel ""House at the Karl Marx"""
611,Verkhnevilyuysk,RU,58.23,overcast clouds,63.4453,120.3167,Gostinitsa Mila
617,Vestmanna,FO,50.92,light rain,62.1564,-7.1664,Vestmanna Camping
631,Havoysund,NO,52.03,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
643,Zermatt,CH,58.57,clear sky,46.0213,7.7491,Ambassador Zermatt
646,Anadyr,RU,50.5,light rain,64.75,177.4833,Отке17.ру — жильё для командированных
647,Altay,CN,58.57,clear sky,47.8667,88.1167,Jinqiao Hotel
651,Usinsk,RU,56.16,scattered clouds,65.9939,57.5281,Dobro Pozhalovaty
658,Hrodna,BY,50.94,scattered clouds,53.6884,23.8258,Гостиница Семашко на Антонова
661,Kangasala,FI,59.27,overcast clouds,61.4638,24.076,Hepesa Oy
