City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Kapaa,US,22.0752,-159.319,84.52,70,20,17.27,few clouds
80,Avarua,CK,-21.2078,-159.775,77.05,50,75,8.05,broken clouds
81,Marfino,RU,55.7028,37.3822,64.65,82,0,6.71,clear sky
82,Severo-Kurilsk,RU,50.6789,156.125,60.91,75,100,4.45,overcast clouds
83,Port Moresby,PG,-9.4431,147.1797,76.42,88,40,11.5,haze
84,Agidel,RU,55.9077,53.9355,63.54,88,20,6.38,few clouds
85,Akhmeta,GE,42.0311,45.2075,77.52,50,51,1.61,broken clouds
86,Arcata,US,40.8665,-124.0828,73.2,74,40,7.0,scattered clouds
87,Matay,EG,28.419,30.7792,83.59,42,1,15.48,clear sky
88,Carnarvon,AU,-24.8667,113.6333,58.77,66,0,17.43,clear sky
89,Port Macquarie,AU,-31.4333,152.9167,55.92,80,76,8.95,broken clouds
90,Isangel,VU,-19.55,169.2667,80.71,83,40,4.61,scattered clouds
91,Lebu,CL,-37.6167,-73.65,48.0,83,4,7.02,light rain
92,Cabo San Lucas,MX,22.8909,-109.9124,97.18,59,17,13.71,few clouds
93,Obo,CF,5.3998,26.4869,66.65,98,100,2.04,moderate rain
94,Nantucket,US,41.2835,-70.0995,75.31,58,0,6.91,clear sky
95,Bow Island,CA,49.8668,-111.3684,75.49,43,95,6.91,overcast clouds
96,Council Bluffs,US,41.2619,-95.8608,95.52,57,40,20.71,scattered clouds
97,Alofi,NU,-19.0595,-169.9187,76.89,78,92,19.57,overcast clouds
98,Torbay,CA,47.6666,-52.7314,65.75,60,20,23.02,few clouds
99,Georgetown,MY,5.4112,100.3354,81.9,87,20,3.44,light rain
100,Inuvik,CA,68.3499,-133.7218,63.46,72,20,8.05,smoke
101,Cape Town,ZA,-33.9258,18.4232,55.38,87,0,2.3,clear sky
102,Faanui,PF,-16.4833,-151.75,78.46,75,91,19.24,light rain
103,Vostok,RU,46.4856,135.8833,67.5,84,69,2.44,broken clouds
104,Barcelos,PT,41.5388,-8.6151,66.92,88,3,2.66,clear sky
105,Hwange,ZW,-18.3693,26.5019,59.94,55,0,1.1,clear sky
106,Port Alfred,ZA,-33.5906,26.891,58.23,81,73,15.93,light rain
107,Lokosovo,RU,61.1333,74.8167,59.58,74,7,2.13,clear sky
108,Luanda,AO,-8.8368,13.2343,69.8,94,75,2.3,broken clouds
109,Maun,BW,-19.9833,23.4167,55.36,62,0,1.14,clear sky
110,Prainha,BR,-1.8,-53.48,75.22,93,77,3.96,broken clouds
111,Lavrentiya,RU,65.5833,-171.0,50.25,81,100,6.13,overcast clouds
112,Bluff,NZ,-46.6,168.3333,33.8,78,71,14.97,broken clouds
113,Lagoa,PT,39.05,-27.9833,67.19,77,33,6.22,scattered clouds
114,Guerrero Negro,MX,27.9769,-114.0611,77.04,59,10,17.94,clear sky
115,Port Loko,SL,8.7667,-12.7833,71.89,98,83,3.44,broken clouds
116,Shikhany,RU,52.1167,47.2167,65.75,70,52,9.66,broken clouds
117,Tiksi,RU,71.6872,128.8694,49.44,75,28,11.23,scattered clouds
118,Chokurdakh,RU,70.6333,147.9167,66.15,43,99,10.38,overcast clouds
119,Kaitangata,NZ,-46.2817,169.8464,41.13,80,63,6.67,broken clouds
120,Santa Maria,BR,-29.6842,-53.8069,76.3,53,0,16.11,clear sky
121,Talnakh,RU,69.4865,88.3972,45.21,61,26,6.44,scattered clouds
122,Bubaque,GW,11.2833,-15.8333,81.03,81,78,10.96,broken clouds
123,Scottsbluff,US,41.8666,-103.6672,95.23,31,0,3.44,clear sky
124,Copiapo,CL,-27.3667,-70.3333,55.09,64,8,4.88,clear sky
125,Seymchan,RU,62.8833,152.4333,77.59,54,79,7.83,broken clouds
126,Asyut,EG,27.181,31.1837,89.78,33,5,9.42,clear sky
127,Bredasdorp,ZA,-34.5322,20.0403,48.22,86,50,6.96,scattered clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,53.62,76,0,10.0,clear sky
129,Butaritari,KI,3.0707,172.7902,82.31,79,17,17.2,few clouds
130,Manicore,BR,-5.8092,-61.3003,89.55,58,0,3.44,clear sky
131,Saint-Philippe,RE,-21.3585,55.7679,63.21,79,37,13.94,scattered clouds
132,Cherskiy,RU,68.75,161.3,57.22,44,95,10.04,overcast clouds
133,Jiuquan,CN,39.7432,98.5174,68.22,55,34,0.72,scattered clouds
134,Boulder City,US,35.9786,-114.8325,110.43,8,0,14.97,clear sky
135,Atambua,ID,-9.1061,124.8925,68.94,87,76,6.44,broken clouds
136,Itarema,BR,-2.9248,-39.9167,77.88,82,58,11.83,broken clouds
137,Viedma,AR,-40.8135,-62.9967,47.77,73,74,20.13,broken clouds
138,Dandong,CN,40.1292,124.3947,69.49,93,63,4.12,broken clouds
139,Lakshmipur,BD,22.95,90.8333,80.92,86,95,15.1,overcast clouds
140,Kumluca,TR,36.3703,30.2869,78.15,62,1,3.38,clear sky
141,Turiacu,BR,-1.6633,-45.3717,74.52,93,98,3.89,overcast clouds
142,Hobyo,SO,5.3505,48.5268,76.23,79,100,23.22,overcast clouds
143,Provideniya,RU,64.3833,-173.3,51.91,87,75,4.47,broken clouds
144,Noyabrsk,RU,63.1994,75.4507,58.86,79,47,9.64,scattered clouds
145,Kavieng,PG,-2.5744,150.7967,82.56,75,58,12.46,light rain
146,Mayumba,GA,-3.432,10.6554,68.9,87,28,4.43,scattered clouds
147,Susanville,US,40.4163,-120.653,88.81,20,0,4.0,clear sky
148,Ribeira Grande,PT,38.5167,-28.7,67.77,79,16,7.76,few clouds
149,Nouadhibou,MR,20.931,-17.0347,71.58,94,75,11.5,broken clouds
150,Duki,PK,30.1541,68.5728,79.38,75,100,4.09,overcast clouds
151,Goderich,CA,43.7501,-81.7165,71.92,46,1,4.61,clear sky
152,De Aar,ZA,-30.6497,24.0123,42.84,92,15,11.34,few clouds
153,Iberia,US,29.9502,-91.7507,93.27,59,20,10.36,few clouds
154,Nome,US,64.5011,-165.4064,69.17,67,0,11.5,clear sky
155,Talaya,RU,61.3833,152.75,78.62,42,17,8.41,few clouds
156,Shimizu,JP,43.0061,142.8847,66.25,99,100,1.3,overcast clouds
157,Puerto Madryn,AR,-42.7692,-65.0385,39.6,95,100,27.72,light rain
158,Kulhudhuffushi,MV,6.6221,73.07,81.54,79,100,16.24,overcast clouds
159,Manta,EC,-0.95,-80.7333,76.78,78,75,12.66,broken clouds
160,Baley,RU,51.6,116.6333,52.3,83,4,2.33,clear sky
161,Alice,US,27.7523,-98.0697,103.89,28,0,5.75,clear sky
162,Curillo,CO,1.0333,-75.9191,73.2,92,94,1.23,overcast clouds
163,Sao Gabriel,BR,-30.3364,-54.32,66.78,82,100,7.65,heavy intensity rain
164,Saint-Georges,GD,12.0564,-61.7485,83.88,79,40,18.41,scattered clouds
165,Alihe,CN,50.5667,123.7167,61.0,81,9,0.85,clear sky
166,Amarante,BR,-6.2411,-42.8547,82.6,47,54,10.11,broken clouds
167,Misantla,MX,19.9333,-96.8333,83.82,69,99,7.43,overcast clouds
168,Tutoia,BR,-2.7619,-42.2744,77.67,84,54,8.01,broken clouds
169,Makakilo City,US,21.3469,-158.0858,84.52,51,40,19.57,scattered clouds
170,Seara,PT,41.1818,-7.8003,64.96,42,29,3.96,scattered clouds
171,Gushikawa,JP,26.3544,127.8686,82.4,89,20,6.91,few clouds
172,Samarai,PG,-10.6167,150.6667,81.46,73,28,11.05,scattered clouds
173,Zhangjiakou,CN,40.81,114.8794,68.16,72,12,2.82,few clouds
174,Dingle,PH,10.9995,122.6711,76.32,93,99,6.35,overcast clouds
175,Aswan,EG,24.0934,32.907,94.3,14,0,8.05,clear sky
176,Broome,US,42.2506,-75.833,80.65,39,0,1.99,clear sky
177,Mataram,ID,-8.5833,116.1167,77.81,89,93,12.59,overcast clouds
178,San Jeronimo,PE,-11.9472,-75.2829,61.12,41,31,6.76,scattered clouds
179,Oistins,BB,13.0667,-59.5333,84.29,74,20,18.41,few clouds
180,Yar-Sale,RU,66.8333,70.8333,47.95,86,18,8.37,few clouds
181,Lata,PT,40.1629,-8.3327,63.81,81,1,2.91,clear sky
182,Tiarei,PF,-17.5333,-149.3333,82.0,79,53,19.84,light rain
183,Laguna,US,38.421,-121.4238,100.49,24,0,6.91,clear sky
184,Saldanha,ZA,-33.0117,17.9442,50.05,75,57,2.84,broken clouds
185,Dickinson,US,29.4608,-95.0513,106.12,52,40,8.05,scattered clouds
186,Port Hedland,AU,-20.3167,118.5667,50.05,66,2,8.05,clear sky
187,Leh,IN,34.1667,77.5833,63.41,56,19,7.23,few clouds
188,Someshwar,IN,13.5,75.0667,72.55,97,100,4.43,light rain
189,Cabedelo,BR,-6.9811,-34.8339,77.67,81,11,14.27,few clouds
190,Ndele,CF,8.4109,20.6473,71.65,92,100,3.33,overcast clouds
191,Olafsvik,IS,64.8945,-23.7142,50.65,93,100,8.52,overcast clouds
192,Belyy Yar,RU,53.6039,91.3903,62.49,77,0,4.47,clear sky
193,Skoczow,PL,49.8009,18.7877,56.7,63,97,3.18,overcast clouds
194,Solok,ID,-0.7918,100.6593,69.04,89,100,1.45,overcast clouds
195,Chake Chake,TZ,-5.2459,39.7666,73.62,78,1,11.74,clear sky
196,Thanh Hoa,VN,19.8,105.7667,77.94,93,100,4.54,overcast clouds
197,Englewood,US,39.6478,-104.9878,100.38,16,75,16.17,broken clouds
198,Senanga,ZM,-16.1167,23.2667,56.5,53,0,4.16,clear sky
199,Valparaiso,CL,-33.0393,-71.6273,52.48,91,100,5.75,light intensity shower rain
200,Tasiilaq,GL,65.6145,-37.6368,39.34,77,42,1.5,scattered clouds
201,Neftcala,AZ,39.3742,49.2472,76.44,69,0,6.87,clear sky
202,Mayakonda,IN,14.2833,76.0833,69.37,93,100,16.15,overcast clouds
203,Puerto Ayacucho,VE,5.6639,-67.6236,80.71,87,70,3.96,light rain
204,Tilichiki,RU,60.4667,166.1,62.31,52,12,10.27,few clouds
205,Atar,MR,20.5169,-13.0499,99.09,16,0,8.03,clear sky
206,Bisho,ZA,-32.8472,27.4422,51.55,75,57,10.85,broken clouds
207,Marck,FR,50.949,1.9433,65.03,79,30,7.11,scattered clouds
208,Cururupu,BR,-1.8283,-44.8683,75.27,87,80,3.4,broken clouds
209,Mwinilunga,ZM,-11.7358,24.4293,56.1,56,0,3.44,clear sky
210,Nurota,UZ,40.5614,65.6886,73.99,29,0,5.1,clear sky
211,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,75.79,73,40,2.24,scattered clouds
212,Ponta Do Sol,PT,32.6667,-17.1,72.23,73,5,5.39,clear sky
213,Xichang,CN,27.8964,102.2634,65.37,93,92,2.06,overcast clouds
214,Mahebourg,MU,-20.4081,57.7,70.25,68,40,17.27,scattered clouds
215,Kinna,SE,57.5073,12.6946,58.44,83,7,5.26,clear sky
216,Ballina,AU,-28.8667,153.5667,51.78,97,82,11.92,light rain
217,Comodoro Rivadavia,AR,-45.8667,-67.5,33.66,80,40,10.36,scattered clouds
218,Zapresic,HR,45.8564,15.8078,62.85,78,70,3.24,broken clouds
219,Alyangula,AU,-13.8483,136.4192,67.1,69,27,12.95,scattered clouds
220,Khatanga,RU,71.9667,102.5,46.4,61,74,12.26,broken clouds
221,Mantua,IT,45.1667,10.7833,78.04,67,10,5.99,clear sky
222,Ilinskiy,RU,55.619,38.1182,64.78,88,0,2.24,clear sky
223,Henties Bay,NA,-22.116,14.2845,54.5,89,0,8.88,clear sky
224,Nelson Bay,AU,-32.7167,152.15,54.0,96,96,8.79,overcast clouds
225,Tianpeng,CN,30.9866,103.9393,80.73,86,100,3.4,moderate rain
226,Asau,RO,46.4333,26.4,59.92,89,76,4.79,broken clouds
227,Parainen,FI,60.3067,22.301,57.65,70,71,9.28,broken clouds
228,Moron,AR,-34.6534,-58.6198,62.35,79,93,10.51,overcast clouds
229,Bure,ET,10.7,37.0667,56.23,96,100,2.53,overcast clouds
230,Pevek,RU,69.7008,170.3133,33.26,85,83,2.93,broken clouds
231,George,ZA,-33.963,22.4617,51.35,93,100,8.05,overcast clouds
232,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,82,32,15.46,scattered clouds
233,Tecoanapa,MX,16.5167,-98.75,87.01,67,6,9.8,clear sky
234,Okhotsk,RU,59.3833,143.3,61.27,82,45,5.46,scattered clouds
235,Umm Lajj,SA,25.0213,37.2685,84.31,65,86,5.39,overcast clouds
236,Teguise,ES,29.0605,-13.564,80.82,37,0,29.93,clear sky
237,Ambilobe,MG,-13.2,49.05,66.0,72,16,4.72,few clouds
238,East London,ZA,-33.0153,27.9116,61.66,69,85,15.3,light rain
239,Musoma,TZ,-1.5,33.8,70.07,62,91,6.38,overcast clouds
240,Raudeberg,NO,61.9875,5.1352,50.67,75,93,9.26,overcast clouds
